н,,,,,,,
,16,,Королевская энергия,Практика,"Пропишите свой аватар успешной роскошной женщины. Как вы себя чувствуете, когда вы такая женщина. Визуализируйте это состояние. Каждый день в течение дня задавайте себе вопрос: а вы сейчас в своем действии выбираете себя или кого-то другого?  Чаще представляйте себя такой, входите в это состояние, реагируйте на вещи и принимайте решения, исходя из этого ",https://disk.yandex.ru/i/y8GXdKgH4nBIjA,
,17,"Делаю все для других, забываю о себе, экономлю на себе, угождаю всем",,,,,
,18,,,,,,
,19,Как начать проявлять свою женственность,Я выбираю себя,,"Напишите списки: 1) что вы позволяете себе и чего вы достойны, 2) чего вы хотите и чего вы не хотите. ДАЛЕЕ В ТЕЧЕНИЕ ДНЯ СПРАШИВАТЬ: А СЕЙЧАС Я ВЫБИРАЮ СЕБЯ?",https://disk.yandex.ru/d/pRQxJFWltFU7xQ,
,20,,Техника на раскрытие сексуальности,Аудиопрактика,"Какая она – женственная, сексуальная женщина? Она умеет наслаждаться, заземляться, отдыхать, научилась снимать с себя контроль и доверять мужчине и Вселенной, спокойная, выбирает себя. Чтобы стать такой женщиной, выполняйте каждый день в течение месяца эту практику. В момент, когда вы чувствуете, что устали, хотите отдохнуть, но продолжаете что-то делать, ощущаете нулевую энергию, либо в моменты стресса, представляйте, что рядом с вами находится женщина, котрая о вас заботится. Представляйте максимально подробно: как она выглядит, какого цвета у нее глаза, во что она одета. Она прекрасна и невероятно красива, у нее нежный голос и мягкая улыбка. Она подходит к вам. Что она вам говорит? Какие слова? Что она делает? Возможно она обнимает вас, крепко прижимая к себе. А может быть она говорит вам, что нужно отдохнуть и пойти заварить себе чай. Она может предложить вам прямо сейчас поехать в СПА или пойти на прогулку. Прислушайтесь к этой женщине. Прочувствуйте, что вы хотите сделать прямо в этот момент, когда она с вами разговаривает. Первые дни вам возможно будет сложно найти с ней контакт. Не расстраивайтесь. Просто продолжайте. И через время вы заметите, как начинает раскрываться ваша женственность.",https://disk.yandex.ru/d/0Up1VmR6Qj_wCQ,
,,,Практика на раскачку своих желаний,Практика + ЧЕК ЛИСТ БЕЛЯКЕОВОЙ,"Пропишите список (50-100 пунктов): чего вы хотите, о чем мечтаете, какие у вас есть желания. Они могут быть и маленькими (устроить себе выходной день и ничего не делать или купить новый комплект белья), и большими (ремонт в квартире, покупка дома). Не ограничивайте себя. Важно: когда пишете желания, соединяйтесь с каждым из них, чувствуйте — ваше это желание или нет. Ваш мозг может содержать огромное количество чужих желаний. Для проверки истинности желания представляйте: а что вы будете чувствовать, когда осуществите это желание? Если вам нравятся эти ощущения и чувства, — желание ваше. Важно: не думайте о деньгах, не ограничивайте свою фантазию. Пишите из состояния: у вас уже все есть.",https://disk.yandex.ru/d/NdHptiNURBicjA,
,,,Мониторинг доходов и расходов,задание,"Заполните таблицу, где 1-я колонка – ваши активы, 2 колонка – ваши  доходы , 3 колонка – ваши расходы. Проанализируйте свое финансовое состояние. Для роста дохода вы должны понимать точку, от которой необходимо оттолкнуться.",https://disk.yandex.ru/d/yV3V4t6NPn-_0A,
Сатурн (реализация),1,Как построить лучший сценарий своей жизни,Техника богатства и роскоши ,,"Оцените 4 сферы своей жизни: деньги, работа, яркость жизни, комфорт от 0 до 10. Пропишите по каждой сфере - на сколько реально от 0 до 10 вы сможете сделать улучшения. Опишите по каждой сфере желаемый уровень жизни. Поставьте конкретные задачи, которые вам необходимо сделать, чтобы приблизиться к идеальному уровню по каждой сфере.",https://disk.yandex.ru/i/JfvxgFG8TevH7A,
,2,,Нейропрактика «Масштаб и квантовый скачок»,Нейропрактика,,,
,3,Как начать больше зарабатывать,Расчет финансового потенциала,Практика,"1)Пропишите списком все ваши ежемесячные расходы и траты сейчас. Посчитайте сумму итого. 2) Далее пропишите ваши ежемесячные желаемые траты, как если бы у вас было столько денег, сколько вы хотите - и вы могли тратить на то, что хотите: регулярный массаж, регулярные походы ресторан и т.д. Посчитайте сумму итого. 3) Далее отнимите от 2-й суммы 1-ю - это и будет ваш финансовый потенциал - сумма, которую вы можете зарабатывать.",https://disk.yandex.ru/i/BxYRZh-ATzk-vw,
,5,,Как прийти к финансовой цели,Упражнение,"Для того, чтобы прийти к своим финансовым целям, важно фокусировать на них своё сознание. В этом поможет декомпозиция. 
Вы сделали задания «Мониторинг доходов и расходов» и «Определение финансового потенциала» и теперь знаете свои финансовые возможности на данный момент. Определите к какому финансовому результату вы хотите прийти и в какой срок. Не ставьте слишком длительный период: первую декомпозицию лучше сделать на 1-3 месяца. 
Разделите лист на 3 колонки. В первой колонке пропишите все свои способы заработка (продукт, услуга). Во второй – сумму заработка напротив каждого способа. В третьей – количество (сколько человек должны купить ваш продукт или услугу).  
Желательно расписать 3 варианта: сформулировать для себя план минимум, план средний и план максимум.",https://disk.yandex.ru/d/pUvj70t-g9aVTA,
,6,,Секрет богатых людей,,"Пропишите свои ежемесячные доходы. 
Выделите % от этих доходов (5-30%), который вы будете ежемесячно инвестировать (вложения, учеба. Благотворительность – отдельно). 
Фиксируйте сумму, которую вы проинвестировали.",https://disk.yandex.ru/i/QaQycKMBL8f9pA,
,7,Как зарабатывать в легкости,Научиться делегировать ,Практика,из венеры,https://disk.yandex.ru/d/pTniXopJuH3vgg,
,8,,Богатое мышление . ЛАЙФХАКИ,Чек-лист,"1. Хвалите себя за всё. 
2. Проявляйте себя открыто. 
3. Общайтесь со всеми людьми на равных, стремтесь к окружению успешных, идейных, деятельных. 
4. Постоянно вкладывайтесь в своё обучение. 
5. Успевайте брать новые возможности. Не тяните с принятием решений. 
6. Принимайте решения из своей точки Б.
7. Разрешайте разным событиям быть. НЕ ТЕРЯЙТЕ ЭНЕРГИЮ НА СОКРУШЕНИЯ и идите вперед. 
8. Платите за лучший сервис и удовольствия. 
9. Заботьтесь о своем состоянии. Это не роскошь – это база. 
10. Пробуйте новое, будьте гибкими и творческими в подходах. 
11. Награждайте себя просто так и регулярно. 
12. Держите фокус на себе, сових результатах целях и желаниях. Сравнивать себя стоит только с собой вчерашним. 
13.Задумывайтесь, какая польза будет миру от вашей деятельности. 
14. Знайте, что когда вы тратите деньги – вы помогаете другим людям, когда вы продаете свои услуги – вы помогаете другим людям.
15. Делайте с превышением (больше, чем от вас ждут, отдавайтесь на 10-20% больше) 
16. Не надо думать как сэкономить. Надо думать как больше заработать. 
17. Выбирайте лучшее из возможного. 
18. Когда приходит вдохновение и идея – реализуйте её в жизнь. 
19. Не смотрите на упущенное в прошлом, смотрите на возможности впереди (к потере денег относиться так же) 
20. Будьте благодарными людям и жизни 
21. Наслаждайтесь процессом, путём к мечте и цели",https://disk.yandex.ru/i/WOPNVJwFVRlZvg,
,9,Как управлять своим временем,Быть в ресурсе,Практика,Из планеты Венера,https://disk.yandex.ru/i/dCKtTSO0XYf5uw,
,10,,9 правил тайм-менеджмента,Чек-лист,"1. Понизьте степень перфекционизма (лучше делать как-нибудь, чем никак).  
2. Не равняйтесь ни на кого, у вас своя история (сравнивайте только себя настоящего с собой прошлым). 
3. Будьте честными не только с другими, но и с собой. 
4. Планируйте (сегодня вы должны знать, что будете делать завтра, через неделю или месяц) – пишите сегодня в заметках конкретные действия, а также свои удовольствия. 
5. Живите по ролям. Какие роли вы исполняете в жизни? В вашем планировании должно быть место для реализации каждой роли (счастливая женщина, любимая жена, любящая мама, дочь, профессионал, ученик и т.д.) 
6. Всё по полочкам (возникла новая задача – сразу же отмечай её на нужный день в календаре, так вы ничего не упустите). 
7. Время вдохновения (его тоже нужно планировать, это только ваше время!). 
8. Следуйте за своими планами (это закон, который приводит к результатам). 
9. Делайте в каждую единицу времени только одно дело. *подробнее об этом в задании «Фокус на действии»",https://disk.yandex.ru/d/mM5790A27hzqoQ,
,11,,техника фокусирования,техника,"Когда вы приступаете к какому-то делу, заведите таймер на 25 минут. 
Работайте 25 минут, не отвлекаясь. По сигналу таймера сделайте 5-минутный перерыв. 
Если задача требует более двух отрезков по 25 минут, то перерыв стоит сделать уже 15-минутный. 
Чередуйте так действие и отдых. 

Это простое упражнение научит вас концентрироваться на задаче и стать более эффективной. ",https://disk.yandex.ru/i/YpiTMSqOiS7oow,
,12,,Техника планирования,Упражнение,"Для того, чтобы поставить цель и спланировать время, нужно определиться со своим желанием. 

1. Подумайте, чего вы хотите? Определите конкретно цели. 
Например, вы хотите стать стройной.  
2. В какой срок вы хотите реализовать это желание? 
Важно: ставьте реалистичные сроки, в которых вам будет комфортно двигаться к своим целям и совмещать со своей жизнью. 
Например, вы хотите постройнеть за 3 месяца. 
3. Как вы к этому можете прийти? Тут нужно расписать задачи. И каждую из задач расстаивть в свой график. 
Например, за счет регулярных тренировок 3 раза в неделю. Поставьте в своё расписание эти тренировки. 
4. При планировании важно учитывать все свои регулярные дела: основные и второстепенные. 

Не забывайте о балансе в жизни, чтобы не скатиться в выгорание от достигаторства. А также при постановке целей не забудьте задаться вопросом: что вы должны чувстовать, пока будете достигать этих целей? ",https://disk.yandex.ru/d/RmSwsznDViZLyA,
,13,,Техника от выгорания,Техника,"Ваш доход и внутренний ресурс связаны напрямую. Поэтому всегда важно следить за своим ресурсным состоянием. 

Начинайте планирование своего дня или недели с планирования удовольствий. 
Подумайте: какое удовольствие в течение дня вы должны делать (5 минут молчания, кофе и т.д.). В идеале 3 удовольствия в день. 
Пропишите список: что вам приносит удовольсвтие. И начните строить все задачи дня вокруг этого удовольствия. 

Важно: нельзя оставлять удовльствие на конец дня.",https://disk.yandex.ru/i/VHX6Tjo2qmJf4Q,
,14,Как выйти из долгов и кредитов,Как избавитья от кредитов и долгов,Чек-лист,"
1. Начните гашение долгов и кредитов с самого маленького.
2. Научитесь передоговариваться с людьми, не давайте обещаний, когда заведомо знаете, что не сможете их выполнить.
3. Ни при каких обстоятельствах не нарушайте сроки погашения кредитов.
4. Наберитесь терпения: если у вас кредиты на 500 000 руб., а доход 40 000 руб. в месяц, никакие волшебные таблетки не помогут вам закрыть кредиты за 1 месяц.
5. Самое важное в кредитах – это досрочное погашение. Часто бывает, что ежемесячный платеж по кредиту небольшой, но при этом выплачивать его надо несколько лет. Регулярно, внося суммы на досрочное погашение, вы существенно сократите свою долговую нагрузку и процент переплаты.
6. Всегда ищите варианты понизить ставку по %. Очень многие банки предлагают возможность рефинансирования.
7. Любое внеплановое поступление денег (кэшбэки, денежные подарки на ДР, премия, бонусы) направляйте на досрочное погашение кредита. Если не получается всю сумму, направьте хотя бы часть.
8. Если у вас есть несколько кредитных карт, закройте все, по которым в текущий момент нет задолженностей. Если у вас не получается на регулярной основе закрывать кредиты в льготный беспроцентный период, старайтесь закрыть вообще все кредитные карты. 
9. Не привязывайте кредитную карту к системе бесконтактной оплаты: в противном случае деньги будут уходить часто и быстро, а долг только расти, как снежный ком.
10. Понизьте лимиты по кредитной карте и установите в банковском приложении лимит на разовое списание.
11. Не думайте о том, как заработать деньги, чтобы закрыть долги.
12. Берите кредит осознанно. Отслеживайте свои желания: в какой момент вам захотелось взять кредит? На что? Это действительно что-то нужное?
",https://disk.yandex.ru/d/exwUEIjJQmqIVQ,
,15,,освобождение от ментальных долгов,Практика,"Проанализируйте, вспомните и выпишите: что вы обещали себе, что другим людям и что другие люди обещали вам? 

Если эти дела все актуальны для вас и для других, запланируйте их и поставьте себе срок, в который вы выполните свои обещания перед собой или другими людьми и сделайте это. 
Если какие-то обещания больше неактуальны или вы не хотите их выполнять – откажитесь от них для себя и сообщите другим, что вы не готовы это выполнить. 
Проверьте список, что обещали вам: на сколько это актуально для вас? Вычеркните то, в чем вы больше не нуждаетесь, напомните об обещании людям, где это необходимо. 

Ментальные долги и непринятые решения забирают нашу энергию и перекрывают финансовый поток.",https://disk.yandex.ru/d/Pbv6LTRHMukC6Q,
,16,Как стать решительной,Техника стратегии масштаба,Техника,"Принимайте решение из точки Б, где вы успешная и уже добились ваших целей и желаний. 

Опишите свою точку Б: как выглядит ваша жизнь, ВАША РЕАЛИЗАЦИЯ? 
Далее опишите СВОЙ АВАТАР: как вы там себя чувствуете? Как вы будете действовать в той точке? Какие у вас там привычки? Какое окружение? Какие решения вы принимаете и как на что реагируете?. Вы можете осознать и выписать   Чего сейчас вам не хватает, чтобы быть в этой точке Б? 

ВЫПИСАТЬ, ЧЕГО НЕ ХВАТАЕТ и что в себе нужно изменить, чтобы быть такой как в точке Б? Каких знаний и навыков? 
Каждый раз при принятии решения погружайтесь в точку Б, визуализируйте её, представляйте себя успешной, входите в это состояние и смотрите на свою проблему или задачу глазами вашего аватара в точке Б. 
Принимайте решения и реагируйте из точки Б",https://disk.yandex.ru/d/r7B_QvbgSwVKiw,
,17,Как определить свои сильные стороны и монетизировать их,Техника «Видение новых возможностей»,Практика,"1. Если вы находитесь в поиске дела жизни, напишите список: что делаете с удовольствием и любовью. И напротив каждого пункта: как вы можете это монетизировать. 
2. Если у вас есть своё дело, подумайте: какой продукт нужен людям, что вы можете создать? Какие новые услуги вы можете начать оказывать? Проанализируйте запросы своих клиентов и свои возможности для создания новых продуктов.  ПОСМОТРИТЕ НА СВОЮ ДЕЯТЕЛЬНОСТЬ/бизнес, расширив его вертикально (цена, новый продукт, новая услуга внутри сферы и т.д.), не менее 3-х идей, и горизонтально (масштабирование производства; увеличение людей, проходящих продукт; за счет найма команды), не менее 3-х идей. 
3. Если вы предприниматель или наемный сотрудник, стабильно зарабатываете, то подумайте о параллельных бизнсах или пассивных инвестициях. Напишите список, как вы хотите инвестировать: это могут быть инвестиции в бизнес, недвижимость, коллаборации, партнерства, фонды и так далее. Проконсультируйтесь с финансовым консультантом.",https://disk.yandex.ru/d/4Q0Ca6AJ8raqtg,
,,,Отпускание контроля и доверие,Техника,"Возьмите лист бумаги и ответьте на вопросы:
1. Почему вам важно отпустить контроль и довериться другому человеку в конкретной ситуации? Что вы получите, если доверитесь? Договоритесь с собой, что довериться человеку вам в этой ситуации просто необходимо. 
2. Представьте, что вы доверились, но ваше доверие не оправдалось. Выпишите аргументы, почему вам всё равно было важно довериться. Пусть это будут, на первый взгляд, небольшие ""плюсы"", но постарайтесь обязательно их найти.",https://disk.yandex.ru/i/nZICSy2GInwEFw,
,18,Как много заабатывать и при этом оставаться женственной,Нейропрактика на богатого мужчину,нейропарктика,,,
,19,"Как проработать денежные страхи, которые мешают расти в доходе",Проработка денежных блоков и страхов,Практика,"Проанализируйте, если вы будете богаты/успешны/популярны, то что? Какие опасности скрывают в себе большие деньги? 
Запишите все мысли, которые приходят вам в голову, все негативные фразы и убеждения. Есть ли среди них страхи и опасения? Если есть, напишите в конце большими буквами: ЭТО ВСЕГО ЛИШЬ МОИ СТРАХИ. ОНИ НЕ ИМЕЮТ НИЧЕГО ОБЩЕГО С МОЕЙ РЕАЛЬНОСТЬЮ. Лист можно сжечь и пепел смыть в унитаз. 

Повторяйте эту праткику столько раз, сколько нужно. Если вы почувствуете что страх не уходит, то на каждый страх расписшите на листе: как вы решите проблему, которая может возникунуть, если вы станете богатой, успешной и популярной?",https://disk.yandex.ru/i/tSHZjfrzG5HK0g,
,20,Как расширить свою финансовую емкость и пробить потолок,Как формировать успешное окружение,Практика,"Напишите список людей из своего окружения. 
Важно затронуть все сферы: семья, близкие, друзья, коллеги, знакомые с ваших обучений, участники клубов, спортивных центров, где вы занимаетесь и так далее. 
Проанализируйте, что вам даёт каждый из этих людей? Это могут быть энергия, знания, деньги. Возможно, кто-то из вашего списка ничего вам не даёт и забирает энергию. Поставьте напротив каждого человека ""+"" и ""-"" соответственно. 
Дополняйте этот список людьми, с которыми вы хотите познакомиться, найти общий язык, кто зарабатывает больше, кто вам интересен. 

Важно формировать окружение под осознанные вами жизненные цели. Добавлять в своё окружение людей, кто добился больше вас, искать с ними знакомства и поддерживать общение",https://disk.yandex.ru/d/wiT0N6Nf1c3UPg,
,,,как повысить ценник на свои услуги,,"ПОВЫШЕНИЕ ЧЕКА НА СВОИ УСЛУГИ – ПРЯМОЙ ПУТЬ ВЫРАСТИ В ДОХОДАХ. 
НО ДЕЛАТЬ ЭТО НАДО ПОДГОТОВЛЕНО!  

Что от этого останавливает: 
1. Страх, что больше не заплятят и клиенты уйдут
2. Самозванец, недо..., низкая самоценность
3. Ограничения ума, нет расширения финансовой нормы ",https://disk.yandex.ru/i/OVhtClLFEUMcJA,
,23,,РАСШИРЕНИЕ ФИНАНСОВОЙ ЕМКОСТИ,Практика (Венера и Сатурн),"Деньги приходят под запрос 

1.Чтобы иметь больше денег – РАСШИРЯЙТЕ КРУГОЗОР. Систематически бывайте в новых местах, путешествуйте и знакомьтесь с новыми людьми, с успешными личностями, общайтесь с ними, СЛЕДИТЕ ЗА НИМИ В СОЦ. СЕТЯХ  – это будет здорово расширять ваше сознание. Анализируйте, чем вам нравится тот или иной человек, что бы вы хотели от него перенять, чем он вас вдохновляет. 
2. Напишите сумму дохода своей мечты. Что вы будете ощущать в этот момент? Какая польза будет миру, когда вы будете обладать этими деньгами? На что вы потратите их? 
Деньги всегда приходят под запрос, поэтому важно знать, чего вы хотите, как планируете распорядиться этими деньгами. Помните, чем больше денег вы тратите, тем больше получаете. Поэтому всегда стремитесь повышать свой уровень нормы.  
3. Представьте, что у вас есть виртуальные деньги. Каждый день сумма вашего виртуального кошелька будет расти: 50 000 руб....1 млн руб. Придумайте, на что вы их можете потратить. Каждую неделю прописывайте расходы на новую сумму. Напротив каждой статьи расходов пишите ощущения от ее ""покупки"". Если что-то мешает или чувствуете дискомфорт, когда прописываете – отмечайте это.",https://disk.yandex.ru/i/VX2dqOYjK39JEA,
,,,"нейро ""Видение своего Пути""",нейропарктика,,,
Раху,1,,как Усилить интуицию,Телесная практика,"Сядьте удобно в положении лотоса. Закройте глаза и начните глубоко дышать. 
Позвольте своему телу расслабиться и освободиться от напряжения. Постепенно проникнитесь ощущением своего тела. Задайте себе вопрос, на который хотите получить ответ своего внутреннего голоса души. Представьте, что на него есть 2 варианта ответа. Визуализируйте, что один вариант ответа находится на левой руке, второй – на правой. Какой из них ""перевешивает""? ТАКОЙ ОТВЕТ И ПРАВИЛЬНЫЙ ДЛЯ ВАС. ЛИБО ЕСЛИ ПЕРЕД ВАМИ ПРЕЛОЖЕНИЕ И ВЫ НЕ ЗНАЕТЕ, ИДТИ В НЕГО ИЛИ НЕТ. ВСТАНЬТЕ НА НОГИ, представьте предложение перед вами и прислушайтесь к сигналам своего тела, что оно вам говорит? Ему комфортно? Вы непроизвольно наклоняетесь вперед? Ощущаете радость? Или наоборот тело отклоняется назад и появляется сопротивление? Не думайте, просто прислушайтесь к первым мыслям и образам. Если тело тянется вперед, значит вы готовы принять данное предложение. Это ваша интуиция, голос вашей души, который говорит именно то, что нужно. 

Практикуйте регулярно эту технику для прокачки своей интуиции.",https://disk.yandex.ru/d/WJIO3FWWMhWk1g,
,2,Как найти дело жизни и начать реализовывать свой потенциал,Как найти любимое дело ,техника Ромашка,"Техника ""Ромашка"" 

В один лепесток выпишите всё, что вам нравится делать, что вас интересует, ваши хобби, приносит удовльствие. 
Во второй лепесток выпишите свои навыки: что у вас хорошо получается. 
Оцените свои знания и навыки (профессиональные и личностные) на данный момент. 
В третьем лепестке пропишите, что нужно людям. Например, вы как потребитель можете оценить, какого предложения не хватает на рынке, чего не хватает вам. Или вы можете узнать у своих знаокмых, подписчиков: за что они теоретически готовы платить вам. Соберите минимум 20 ответов. 
На четвёртом лепестке отдельными строчками внесите свои ресурсы: деньги и материальные ценности, свободное время, а также людей (сильные знакомства, подписчики, живые сообщества). 

ВАШЕ ЛЮБИМОЕ ДЕЛО (то, которое будет приносить вам удовольсвие и деньги) находится НА ПЕРЕСЕЧЕНИИ ПУНКТОВ ИЗ ВСЕХ ЧЕТЫРХ ЛЕПЕСТКОВ",https://disk.yandex.ru/d/YRA_nwfuvqwywQ,
,3,,"9 признаков того, что вы занимаетесь своим делом",Чек-лист,ОПИСАНИЕ ГДЕ?????,,
,4,,Поиск своей суперсилы,Гайд,"Большие деньги лежат в области вашей суперсилы. Когда вы находитесь в состоянии потока и реализуете максимальный потенциал вашей жизни. 

Как понять, в чем ваша суперсила: 

1. Вы можете заниматься без усталости этим делом бесконечно 
2. В этом, чаще всего, была ваша слабость 
3. Вы видите её по реакции других людей. Это способность видеть то, чего не видят другие. Она видна, когда вы выражаете своё мнение и поражаете других своей системностью и точностью. 
4. В области суперсилы нет колебаний в принятии решений. Всё прозрачно, вы максимально эффективны, в отличие от других. 
5. Вы ведете себя скромно, потому что не понимаете свою суперсилу в вопросе, где уверенность в результате создает авторитет у партнеров и клиентов 
6. Тут нет конкуренции, никто не может украсть ваши знания. В этом состоянии легко создается партнерство. 
7. Когда вы находитесь вне этой силы, всё кажется сложным, утомительным и скучным. Появляется ощущение, что все знания и навыки могут украсть. 
8. Глубокая вера в то, что вы говорите 
9. Желание делиться, так как суперсила у вас в избытке. Фокус на внешний мир.",https://disk.yandex.ru/d/UGTp0n9Ys_RSSA,
,5,,в чем мое предназначение,Практика,"Представьте ситуацию, когда у вас всё есть: вы богаты, успешны и реализованы. Вы в любой момент можете поехать в путешествие в любую страну, какую захотите. Вы живёте в месте своей мечты. Вы любите и любимы. Всё, что вы захотите, вы можете себе позволить. 
Как вы чувствуете себя в таком состоянии? Пребывая в этом состоянии, напишите подробный ответ на вопрос: чем я занимаюсь, когда у меня уже все есть?",https://disk.yandex.ru/i/1aOxFLTzNoO_pQ,
,6,,узнать и оценить  свой потенциал,Упражнение,"Проведите мониторинг окружающих и выявите свои сильные стороны, задав им вопросы из опросника: 1. как ты считаешь, в чем мои сильные стороны? 2. за чем бы ты ко мне обратился? 3 Что у меня получается делать хорошо? 4. если бы ты меня рекомендовал своим друзьям, что бы ты сказал обо мне?",https://disk.yandex.ru/i/d1gPC6GsAaa0_A,
,7,,Принятие силы рода,Аудиопрактика,"Вдох-выдох... Закройте глаза. 
Представьте у себя за спиной маму слева, папу справа, а за спиной мамы и папы – бабушек и дедушек  и так далее. И наконец самых древних женщину и мужчину рода. Они прямо сейчас передают вам свою энергию и силу. Они дали жизнь многим матерям и отцам, которые дали жизнь вам. Ваши первые женщина и мужчина рода передают вам много своей силы. Принимайте эту силу легко, в удовольствие. Отправьте через энергетический канал, связывающий вас, благодарность и любовь. В вас сейчас рождается новое дыхание и по всему вашему телу распространяется сила. Ваши прародители рода великой силой наполняют всё ваше существо. Почувствуйте, как в каждой клеточке вашего тела раскрываются новые знания: ""Я знаю, как это чувстовать, чего я хочу, в чем моя миссия. Я понимаю как жить с этим чувством. Я знаю, что и как мне делать, я знаю свою силу. Я знаю, что у меня все получится. Весь мой род за меня и передает мне свою силу и мудрость прямо сейчас"". Как будете готовы, открывайте глаза.  

Каждый раз когда вам нужна поддержка, вы можете возвращаться к этой практике",https://disk.yandex.ru/d/LgZVV-x2FhJuxw,
,,,Техника вдохновения и поиска любимого дела,,Из Венеры,https://disk.yandex.ru/i/ch-kyuofx6w5iw,
,8,,Практика фокуса на желании,Практика,"Выберите время утром, когда вас никто не беспокоит и вы можете посвятить его себе. 

Сядьте в тишине и задайте себе 3 простые вопроса: 
1. Чего вы хотите для себя? Сегодня и/или вообще
2. Что вы сегодня можете для этого сделать? 
3 Как вы хотите, чтобы прошел ваш день?  

Слушайте голос своей души, своей интуиции. Такой настрой поможет вам провести свой день более гармонично, эффективно и по-настоящему. Именно так, как хочет ваша душа ",https://disk.yandex.ru/d/81K9h-P4YuxGaA,
Юпитер (профессия),1,Хочу расширить свои профессиональные навыки,,,,,
,2,Хочу поднять чеки,"1. Страх что не придут 
2. Самозванец, недо..., самоценность
3. Ограничения ума, расширение сознания",,,,
,3,Хочу обрести знания в цифровой психологии,,,,,
,4,Хочу быть полезной людям и зарабатывать на любимом деле,,,,,
,5,Как стать востребованным специалистом,,,,,
,6,Как зарабатывать на психологии и коучинге,,,,,
Меркурий (окружение и продажи),1,Как попасть в окружение ярких и интересных людей,,,,,
,2,"Как легко строить отношения с клиентами, партнерами",,,,,
,3,Как заявлять о себе,,,,,
,4,Как освободиться от страхов,,,,,
,5,Как научиться продавать,,,,,
,6,,,,,,
,7,Как вести соцсети,,,,,
,8,Как проработать страх потери клиентов,,,,,
,9,Как позиционировать себя и построить личный бренд,,,,,
,10,Как сформировать окружение,,,,,
,,,,,,,
,,,,,,,
,,,Отпускание контроля и доверие,"Сатурн
","1. Объяснить, для чего надо, почему это важно
2. Если случился факап - почему это всё равно будет полезно, без этого невозможно
3. В каждой ситуации находить плюсы постоянно, от того что отпустил контроль и доверился (больше успевать, лучше себя чувствовать)",,
,,,Техника вдохновения и поиска любимого дела,"Венера, Раху","""Разделите лист на две части. 
Слева напишите список, какие занятия и действия вас наполняют: творчество, массаж, обьятия, тренировки, прогулки, покупка одежды, музыка, добрые слова себе, встречи с близкими и т. д. Не менее 20 пунктов. 
Справа напишите, какие действия забирают у вас энергию: ссоры, отсутствие ухода за собой, долгий сон, какие-то рутинные дела на работе и т. д. Также не менее 20 пунктов. 
Проанализируйте эти два списка. Ответьте себе на вопрос: как вы можете построить свою жизнь так, чтобы в каждом ее дне было больше наполняющих действий, чем забирающих? Может, что-то сделегировать, поменять или отказаться вовсе? ""

+ Найти занятия, которые тебя наполняют. Когда ищешь себя, ты зарабатываешь на том, что увлекает",,
,,,,,,,
,,,Техника на баланс,"Состояние
Отношения
Венера
Деньги","1. Сферы:
Яркость жизни: хобби, окружение, путешествия, времяпрепровождение, любимые дела
Я: здоровье, внешность, образование
Семья: муж, дети, родители, родственники. Если выделить личную жизнь, то 5 сфер
Деньги / работа
+ Сколько времени в % ты уделяешь каждой сфере / роли

2. Баллом на уровне ощущений - насколько качественное время выделяешь сфере

3. Ответить на вопрос: почему не 10? 

4. Что ты можешь сделать, чтобы сбалансировать - подтянуть ""проседающие"" сферы

Подтягиваем по очереди, но тебя может снова затянуть. Можно все сферы разом",,